代號,名稱,年月日,報酬率％
1101,台泥,2021/06/16,1.1696
1101,台泥,2021/06/15,-0.1946
1101,台泥,2021/06/11,-0.1942
1101,台泥,2021/06/10,0.3899
1101,台泥,2021/06/09,-0.1946
1101,台泥,2021/06/08,-0.1942
1101,台泥,2021/06/07,-0.7707
1101,台泥,2021/06/04,-0.7648
1101,台泥,2021/06/03,0.5769
1101,台泥,2021/06/02,0.9709
1101,台泥,2021/06/01,-0.1938
1101,台泥,2021/05/31,1.9763
1101,台泥,2021/05/28,0.5964
1101,台泥,2021/05/27,-0.789
1101,台泥,2021/05/26,-0.7828
1101,台泥,2021/05/25,-0.3899
1101,台泥,2021/05/24,0.1953
1101,台泥,2021/05/21,0.7874
1101,台泥,2021/05/20,0.5941
1101,台泥,2021/05/19,1
1101,台泥,2021/05/18,4.3841
1101,台泥,2021/05/17,-3.4274
1101,台泥,2021/05/14,0.813
1101,台泥,2021/05/13,-0.8065
1101,台泥,2021/05/12,-3.876
1101,台泥,2021/05/11,-2.4575
1101,台泥,2021/05/10,1.1472
1101,台泥,2021/05/07,-1.3208
1101,台泥,2021/05/06,4.3307
1101,台泥,2021/05/05,1.1952
1101,台泥,2021/05/04,-1.9531
1101,台泥,2021/05/03,-1.7274
1101,台泥,2021/04/29,-2.0677
1101,台泥,2021/04/28,0.9488
1101,台泥,2021/04/27,-0.7533
1101,台泥,2021/04/26,0.1887
1101,台泥,2021/04/23,-2.0333
1101,台泥,2021/04/22,-2.8725
1101,台泥,2021/04/21,7.1154
1101,台泥,2021/04/20,3.1746
1101,台泥,2021/04/19,2.8571
1101,台泥,2021/04/16,2.2965
1101,台泥,2021/04/15,1.9149
1101,台泥,2021/04/14,-0.4237
1101,台泥,2021/04/13,0.7471
1101,台泥,2021/04/12,0.3212
1101,台泥,2021/04/09,-0.4264
1101,台泥,2021/04/08,0.2137
1101,台泥,2021/04/07,-0.1067
1101,台泥,2021/04/06,0.3212
1101,台泥,2021/04/01,-0.2137
1101,台泥,2021/03/31,0.5371
1101,台泥,2021/03/30,0.1075
1101,台泥,2021/03/29,0.7584
1101,台泥,2021/03/26,1.3172
1101,台泥,2021/03/25,0
1101,台泥,2021/03/24,-0.3282
1101,台泥,2021/03/23,-0.2183
1101,台泥,2021/03/22,7.26
1101,台泥,2021/03/19,-0.9281
1101,台泥,2021/03/18,0.5834
1101,台泥,2021/03/17,0.5869
1101,台泥,2021/03/16,0.5903
1101,台泥,2021/03/15,-0.8197
1101,台泥,2021/03/12,-0.3501
1101,台泥,2021/03/11,-0.3488
1101,台泥,2021/03/10,-0.9217
1101,台泥,2021/03/09,1.7585
1101,台泥,2021/03/08,0.3529
1101,台泥,2021/03/05,0
1101,台泥,2021/03/04,-0.1175
1101,台泥,2021/03/03,1.0689
1101,台泥,2021/03/02,0.2381
1101,台泥,2021/02/26,-2.0979
1101,台泥,2021/02/25,0.8226
1101,台泥,2021/02/24,0.2356
1101,台泥,2021/02/23,1.555
1101,台泥,2021/02/22,0.4808
1101,台泥,2021/02/19,0.6046
1101,台泥,2021/02/18,0.2424
1101,台泥,2021/02/17,0.9792
1101,台泥,2021/02/05,1.1139
1101,台泥,2021/02/04,-0.3699
1101,台泥,2021/02/03,-0.4908
1101,台泥,2021/02/02,-0.1225
1101,台泥,2021/02/01,1.6189
1101,台泥,2021/01/29,-0.2484
1101,台泥,2021/01/28,-0.2478
1101,台泥,2021/01/27,0
1101,台泥,2021/01/26,-1.3447
1101,台泥,2021/01/25,0.7389
1101,台泥,2021/01/22,-0.4902
1101,台泥,2021/01/21,-0.3663
1101,台泥,2021/01/20,-1.9162
1101,台泥,2021/01/19,0.3606
1101,台泥,2021/01/18,-0.8343
1101,台泥,2021/01/15,-1.4101
1101,台泥,2021/01/14,-0.3513
1101,台泥,2021/01/13,0
1101,台泥,2021/01/12,-0.9281
1101,台泥,2021/01/11,0.3492
1101,台泥,2021/01/08,0.2334
1101,台泥,2021/01/07,-0.2328
1101,台泥,2021/01/06,-0.348
1101,台泥,2021/01/05,-0.2315
1101,台泥,2021/01/04,0
1101,台泥,2020/12/31,-0.1156
