Date,50_Portfolio_Daily_Return,TW50TR_Daily_Return,
2020/5/14,2020/5/14,-0.010660658,-0.012444
2020/5/15,2020/5/15,0.005287866,0.004324
2020/5/18,2020/5/18,-0.009866415,-0.012029
2020/5/19,2020/5/19,0.013625301,0.010009
2020/5/20,2020/5/20,0.006030547,0.004933
2020/5/21,2020/5/21,0.007041496,0.007315
2020/5/22,2020/5/22,-0.019491945,-0.01861
2020/5/25,2020/5/25,0.003440238,0.003026
2020/5/26,2020/5/26,0.014604047,0.012561
2020/5/27,2020/5/27,0.001696273,0.001684
2020/5/28,2020/5/28,-0.007862238,-0.007256
2020/5/29,2020/5/29,-0.000147232,-0.000308
2020/6/1,2020/6/1,0.010814367,0.011361
2020/6/2,2020/6/2,0.00901928,0.007343
2020/6/3,2020/6/3,0.018857552,0.017517
2020/6/4,2020/6/4,0.007009343,0.00814
2020/6/5,2020/6/5,0.010795065,0.008927
2020/6/8,2020/6/8,0.016109636,0.015085
2020/6/9,2020/6/9,0.003917549,0.002034
2020/6/10,2020/6/10,0.00974719,0.008346
2020/6/11,2020/6/11,-0.012169532,-0.012726
2020/6/12,2020/6/12,-0.012478355,-0.011987
2020/6/15,2020/6/15,-0.012261935,-0.013058
2020/6/16,2020/6/16,0.01921055,0.01815
2020/6/17,2020/6/17,0.001139848,0.001222
2020/6/18,2020/6/18,0.000985622,0.001218
2020/6/19,2020/6/19,0.002795107,0.000947
2020/6/22,2020/6/22,0.003079373,0.001396
2020/6/23,2020/6/23,0.0056427,0.006057
2020/6/24,2020/6/24,0.007086587,0.005934
2020/6/29,2020/6/29,-0.011311672,-0.011094
2020/6/30,2020/6/30,0.006483972,0.006369
2020/7/1,2020/7/1,0.008595522,0.00914
2020/7/2,2020/7/2,0.009492434,0.010451
2020/7/3,2020/7/3,0.013422181,0.012198
2020/7/6,2020/7/6,0.020115052,0.018509
2020/7/7,2020/7/7,0.003747002,0.001905
2020/7/8,2020/7/8,0.00739528,0.006622
2020/7/9,2020/7/9,0.002405034,0.003005
2020/7/10,2020/7/10,-0.006605613,-0.004888
2020/7/13,2020/7/13,0.015597489,0.01321
2020/7/14,2020/7/14,0.006847811,0.007086
2020/7/15,2020/7/15,-0.000747026,0.000529
2020/7/16,2020/7/16,-0.007660901,-0.006996
2020/7/17,2020/7/17,0.013639576,0.011619
2020/7/20,2020/7/20,-0.001911592,-0.002122
2020/7/21,2020/7/21,0.026873174,0.023715
2020/7/22,2020/7/22,0.007513477,0.005873
2020/7/23,2020/7/23,-0.001470793,-0.004029
2020/7/24,2020/7/24,-0.00091935,-0.001621
2020/7/27,2020/7/27,0.055346639,0.045838
2020/7/28,2020/7/28,0.008343026,0.00767
2020/7/29,2020/7/29,-0.012227163,-0.012331
2020/7/30,2020/7/30,0.016605312,0.01719
2020/7/31,2020/7/31,-0.007529698,-0.008936
2020/8/3,2020/8/3,-0.014366919,-0.015724
2020/8/4,2020/8/4,0.018890008,0.018055
2020/8/5,2020/8/5,0.005589398,0.005859
2020/8/6,2020/8/6,0.01433213,0.012321
2020/8/7,2020/8/7,-0.008774013,-0.007214
2020/8/10,2020/8/10,0.004868029,0.006687
2020/8/11,2020/8/11,-0.0117838,-0.010306
2020/8/12,2020/8/12,-0.014571782,-0.012695
2020/8/13,2020/8/13,0.010598065,0.012964
2020/8/14,2020/8/14,-0.001524051,-0.001794
2020/8/17,2020/8/17,0.014853438,0.013708
2020/8/18,2020/8/18,-0.012065454,-0.008499
2020/8/19,2020/8/19,-0.011895966,-0.009794
2020/8/20,2020/8/20,-0.033794688,-0.03028
2020/8/21,2020/8/21,0.019902921,0.019465
2020/8/24,2020/8/24,0.001795691,0.001967
2020/8/25,2020/8/25,0.009155998,0.009626
2020/8/26,2020/8/26,0.008158812,0.008184
2020/8/27,2020/8/27,-0.003235553,-0.002696
2020/8/28,2020/8/28,-0.009579053,-0.009324
2020/8/31,2020/8/31,-0.016059163,-0.015694
2020/9/1,2020/9/1,0.015059352,0.012489
2020/9/2,2020/9/2,-0.000730834,-0.001847
2020/9/3,2020/9/3,0.005753703,0.005554
2020/9/4,2020/9/4,-0.012926185,-0.011885
2020/9/7,2020/9/7,-0.000593398,-0.001531
2020/9/8,2020/9/8,0.007139468,0.007893
2020/9/9,2020/9/9,-0.005206335,-0.006756
2020/9/10,2020/9/10,0.010694738,0.010947
2020/9/11,2020/9/11,0.00132799,0.001753
2020/9/14,2020/9/14,0.012638926,0.009734
2020/9/15,2020/9/15,0.007028754,0.005128
2020/9/16,2020/9/16,0.015375336,0.015195
2020/9/17,2020/9/17,-0.011908247,-0.01154
2020/9/18,2020/9/18,-0.003680287,-0.003134
2020/9/21,2020/9/21,-0.009635053,-0.006792
2020/9/22,2020/9/22,-0.008525383,-0.010124
2020/9/23,2020/9/23,-0.003642971,-0.004495
2020/9/24,2020/9/24,-0.022548264,-0.024075
2020/9/25,2020/9/25,-0.003436288,0.000178
2020/9/28,2020/9/28,0.021896252,0.019823
2020/9/29,2020/9/29,0.001680032,0.000953
2020/9/30,2020/9/30,0.006335331,0.0038
2020/10/5,2020/10/5,-0.001601138,0.000271
2020/10/6,2020/10/6,0.011398368,0.0125
