code,年月,當季季底P/E,當季季底P/B,ROE(B)－常續利益,季底普通股市值,季別
2424,Jun-05, ,1.11,-8.14,912341,2
2425,Jun-05, ,1.16,-8.03,1041548,2
2426,Jun-05,172.74,1.32,-0.32,2853977,2
2427,Jun-05, ,0.79,-2.45,2353315,2
2428,Jun-05,10.91,1.37,3.64,1836140,2
2429,Jun-05, ,0.55,-6.37,248214,2
2430,Jun-05,4.36,1.69,11.85,9644974,2
2431,Jun-05,59.41,0.93,2.93,1365800,2
2433,Jun-05,10.93,1.19,4.72,2023023,2
2434,Jun-05,21.52,1.21,1.99,1094941,2
2436,Jun-05,56.01,1.37,0.17,3223000,2
2438,Jun-05,13.62,1.01,5.97,3676202,2
2439,Jun-05,17.92,3.55,9.78,11135495,2
2440,Jun-05, ,0.53,-31.64,853845,2
2441,Jun-05,7.54,1.74,11.09,10582481,2
2442,Jun-05, ,1.84,5.26,2487500,2
2443,Jun-05, ,0.64,-7.45,2785098,2
2444,Jun-05, ,1.54,-8.79,1455227,2
2449,Jun-05,14.32,1.46,1.14,22539524,2
2450,Jun-05,46.29,1.74,2.16,4434669,2
2451,Jun-05,14.9,3.88,9.81,22314752,2
2453,Jun-05,13103.6,0.68,-1.11,1022081,2
2454,Jun-05,14.77,5.15,16.51,211182458,2
2455,Jun-05, ,1.24,-12.49,758725,2
2457,Jun-05,14.63,0.79,3.53,3429235,2
2458,Jun-05,16.86,1.52,1.02,5807944,2
2459,Jun-05,11.77,2.19,7.71,5100126,2
2460,Jun-05,11.28,1.52,3.78,1838760,2
2461,Jun-05,39.5,1.55,2.37,2537917,2
2462,Jun-05,13.83,1.14,3.97,856767,2
2464,Jun-05,8.41,1.66,13.35,2649301,2
2465,Jun-05, ,1.31,-7.65,2915385,2
2466,Jun-05,33.71,0.9,0.35,817353,2
2467,Jun-05,9,1.2,5.7,1622966,2
2468,Jun-05,32.31,0.68,0.51,612198,2
2471,Jun-05,192.23,0.72,-1.22,579585,2
2472,Jun-05, ,0.87,-1.6,1835820,2
2474,Jun-05,15.12,4.74,24.48,36961608,2
2476,Jun-05,10.8,1.6,7.68,3690748,2
2477,Jun-05,12.41,1.62,2.42,4904200,2
2478,Jun-05,12.22,0.87,3.49,2638400,2
2480,Jun-05,9.6,1.1,5.53,3689357,2
2481,Jun-05,21.7,0.99,-0.87,2951837,2
2482,Jun-05,12.33,1.61,5.06,1163940,2
2483,Jun-05,12.64,1.04,4.12,2054832,2
2484,Jun-05,24.33,0.83,2.28,1600681,2
2485,Jun-05,39.08,2.41,2.85,7092769,2
2486,Jun-05,18.27,1.27,4.18,1814297,2
2488,Jun-05,8.8,1.36,5.76,2202164,2
2489,Jun-05, ,1.25,-4.78,6786606,2
2491,Jun-05, ,0.51,-4.29,1223372,2
2492,Jun-05,31.98,0.77,0.2,7462268,2
2493,Jun-05,11.93,0.81,2.63,1343518,2
2495,Jun-05,10.03,3.67,16.29,11364085,2
2496,Jun-05, ,1.23,-36.07,224705,2
2497,Jun-05, ,1.46,-2.8,1422813,2
2498,Jun-05,12.92,5.08,30.56,77388484,2
2501,Jun-05,2062.61,1.28,0.31,23936642,2
2504,Jun-05,11.26,0.6,3.39,9106622,2
2505,Jun-05, ,1.43,-4.24,4066410,2
2506,Jun-05, ,0.36,0.85,1182557,2
2509,Jun-05,7.94,0.56,4.37,924205,2
2511,Jun-05,9.22,0.8,2.84,7835507,2
2514,Jun-05,25.21,0.71,-1.55,5117863,2
2515,Jun-05,15.21,0.39,1.77,6975539,2
2516,Jun-05, ,0.53,-1.03,1397695,2
2520,Jun-05, ,0.65,-0.26,4189290,2
