證券代碼	年	序號	事件日
U4DST 下市	2023    	000431	20011227
U4DST 下市	2023    	000432	20030825
U4DST 下市	2023    	000433	20020128
U4DST 下市	2023    	000434	20020125
U4DST 下市	2023    	000435	20020122
U4DST 下市	2023    	000436	20030825
U4DST 下市	2023    	000437	20020125
U4DST 下市	2023    	000438	20020227
U4DST 下市	2023    	000439	20020307
U4DST 下市	2023    	000440	20020314
U4DST 下市	2023    	000441	20020418
U4DST 下市	2023    	000442	20040524
U4DST 下市	2023    	000443	20020509
U4DST 下市	2023    	000444	20020426
U4DST 下市	2023    	000445	20021022
U4DST 下市	2023    	000446	20030106
U4DST 下市	2023    	000447	20030123
U4DST 下市	2023    	000448	20030331
U4DST 下市	2023    	000449	20030704
U4DST 下市	2023    	000450	20040609
U4DST 下市	2023    	000451	20090318
U4DST 下市	2023    	000452	20061031
U4DST 下市	2023    	000453	20040128
U4DST 下市	2023    	000454	20041228
U4DST 下市	2023    	000455	20031021
U4DST 下市	2023    	000456	20030828
U4DST 下市	2023    	000457	20060315
U4DST 下市	2023    	000458	20000720
U4DST 下市	2023    	000459	20010208
U4DST 下市	2023    	000460	20040929
U4DST 下市	2023    	000461	20141227
U4DST 下市	2023    	000462	20150325
U4DST 下市	2023    	000463	20170601
U4DST 下市	2023    	000464	20001108
U4DST 下市	2023    	000465	20161212
U4DST 下市	2023    	000466	20170428
U4DST 下市	2023    	000467	20111101
U4DST 下市	2023    	000468	20140313
U4DST 下市	2023    	000469	19961002
U4DST 下市	2023    	000470	20140314
U4DST 下市	2023    	000471	20140317
U4DST 下市	2023    	000472	20140227
U4DST 下市	2023    	000473	20140311
U4DST 下市	2023    	000474	20140321
U4DST 下市	2023    	000475	20140314
U4DST 下市	2023    	000476	20140331
U4DST 下市	2023    	000477	20140221
U4DST 下市	2023    	000478	20140530
U4DST 下市	2023    	000479	20140227
U4DST 下市	2023    	000480	20140320
U4DST 下市	2023    	000481	20140630
U4DST 下市	2023    	000482	20140627
U4DST 下市	2023    	000483	20140627
U4DST 下市	2023    	000484	20140630
U4DST 下市	2023    	000485	20140627
U4DST 下市	2023    	000486	20140825
U4DST 下市	2023    	000487	20140627
U4DST 下市	2023    	000488	20141001
U4DST 下市	2023    	000489	20140924
U4DST 下市	2023    	000490	20140919
U4DST 下市	2023    	000491	20141001
U4DST 下市	2023    	000492	20141003
U4DST 下市	2023    	000493	20141016
U4DST 下市	2023    	000494	20141008
U4DST 下市	2023    	000495	20141110
U4DST 下市	2023    	000496	20141125
